                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.62063,                0.48496,                0.76861,                 1.0635,                0.75759,                0.91125,                0.90524,                0.84951,                0.75759,                0.91125,                0.90378,                0.80662,                0.52458,                0.60504,                0.64363,                   1.01,             0.00032887,             0.00032887,             0.00032887
                     59,                0.63113,                0.54099,                0.76908,                 1.0393,                0.85075,                0.85579,                0.87769,                0.80876,                0.85075,                0.85579,                0.87672,                0.78835,                0.52905,                0.59449,                0.72607,                 1.0145,             0.00032662,             0.00032662,             0.00032662
                     60,                0.62293,                0.49691,                0.77664,                 1.0463,                0.74471,                0.90712,                0.88576,                0.83093,                0.74471,                0.90712,                0.88462,                0.78202,                0.53223,                0.59597,                0.71846,                 1.0024,             0.00032437,             0.00032437,             0.00032437
                     61,                0.61987,                0.50604,                0.72684,                  1.038,                0.78511,                0.93764,                0.90705,                0.84241,                0.79099,                0.94459,                  0.911,                0.81286,                 0.5425,                0.64351,                0.64548,                 1.0344,             0.00032212,             0.00032212,             0.00032212
                     62,                0.61711,                0.50491,                0.77534,                 1.0603,                0.78149,                0.88237,                0.89148,                0.81652,                0.78428,                0.88518,                0.89055,                0.79693,                0.54845,                0.63467,                0.69588,                 1.0242,             0.00031986,             0.00031986,             0.00031986
                     63,                0.62453,                0.48439,                0.76001,                 1.0416,                0.77193,                0.94651,                0.88877,                0.82309,                0.77768,                0.95345,                0.89214,                0.78622,                0.51816,                0.58053,                0.66414,                0.99807,             0.00031761,             0.00031761,             0.00031761
                     64,                0.60513,                0.53788,                0.75273,                 1.0334,                0.73804,                0.92019,                0.88224,                 0.8192,                0.73804,                0.92019,                 0.8818,                0.78485,                0.48786,                0.62303,                0.67377,                0.97943,             0.00031536,             0.00031536,             0.00031536
                     65,                0.61732,                0.48855,                0.74239,                 1.0376,                0.79163,                0.90696,                0.87386,                0.80069,                0.79214,                0.90941,                0.87664,                0.77972,                0.53861,                0.60209,                0.65485,                 1.0104,             0.00031311,             0.00031311,             0.00031311
                     66,                 0.6046,                0.50652,                0.72191,                 1.0272,                0.79965,                0.91744,                0.90288,                0.83529,                0.80331,                0.93215,                0.90579,                0.80086,                0.50751,                0.53598,                0.68634,                0.98837,             0.00031086,             0.00031086,             0.00031086
                     67,                 0.5792,                0.48378,                0.72745,                 1.0176,                0.74251,                0.92472,                0.88951,                0.82796,                0.74353,                0.93767,                0.89745,                0.80213,                0.46822,                0.55459,                0.64635,                 1.0347,              0.0003086,              0.0003086,              0.0003086
                     68,                0.58794,                0.46009,                0.71648,                 1.0336,                0.78642,                0.96659,                0.91003,                0.84618,                0.78642,                0.96659,                0.90997,                0.81783,                0.47092,                0.69457,                0.59328,                   1.03,             0.00030635,             0.00030635,             0.00030635
                     69,                0.59573,                0.52062,                0.72807,                 1.0484,                0.74532,                0.95879,                0.89278,                0.83489,                0.75302,                0.97094,                0.90601,                0.80846,                0.45551,                0.60139,                0.64908,                 1.0201,              0.0003041,              0.0003041,              0.0003041
                     70,                0.58988,                 0.4924,                0.74739,                 1.0517,                0.71021,                0.96714,                0.87916,                0.81279,                0.70695,                0.96341,                0.87529,                0.79356,                0.47954,                0.60012,                0.67915,                 1.0332,             0.00030185,             0.00030185,             0.00030185
                     71,                0.54231,                0.47512,                0.69415,                 1.0241,                0.79839,                0.95683,                0.91428,                0.86036,                0.79808,                0.96771,                0.91587,                0.82047,                0.42762,                0.66112,                0.57783,                0.99293,             0.00029959,             0.00029959,             0.00029959
                     72,                0.57877,                0.50365,                0.73622,                 1.0406,                0.78205,                0.91595,                0.89651,                0.83447,                0.78205,                0.91595,                0.89651,                0.80938,                0.45184,                0.61233,                0.64711,                 1.0159,             0.00029734,             0.00029734,             0.00029734
                     73,                0.54598,                0.45437,                0.70423,                 1.0272,                0.74682,                0.93761,                0.91807,                0.85848,                0.75251,                0.94456,                0.92067,                0.82346,                0.43984,                0.64159,                0.60149,                 1.0049,             0.00029509,             0.00029509,             0.00029509
                     74,                0.54656,                0.49431,                0.70194,                 1.0268,                0.84533,                0.86311,                0.90398,                0.84388,                0.84359,                0.87187,                 0.9079,                0.81576,                0.42241,                0.59037,                0.67526,                0.98387,             0.00029284,             0.00029284,             0.00029284
                     75,                0.56358,                0.46749,                0.70696,                 1.0426,                0.75413,                0.97299,                0.90556,                  0.843,                0.75934,                0.97994,                0.90852,                0.81436,                0.45417,                0.58444,                0.61892,                 1.0057,             0.00029059,             0.00029059,             0.00029059
                     76,                0.55568,                0.45086,                 0.7136,                 1.0311,                 0.7731,                0.91053,                0.89795,                0.84274,                 0.7731,                0.91053,                0.89795,                0.81294,                0.44211,                0.71167,                0.59345,                 1.0026,             0.00028833,             0.00028833,             0.00028833
                     77,                0.53349,                0.45639,                0.69636,                 1.0156,                0.81505,                0.94693,                0.91167,                0.84862,                0.81505,                0.94693,                0.91455,                0.81649,                 0.4268,                0.60628,                0.62696,                0.99546,             0.00028608,             0.00028608,             0.00028608
                     78,                0.53339,                0.46515,                0.67632,                  1.007,                0.75654,                0.96179,                0.89034,                0.84086,                0.76276,                0.96792,                0.89792,                0.81028,                0.43168,                0.54552,                0.61658,                 1.0037,             0.00028383,             0.00028383,             0.00028383
                     79,                 0.5289,                0.51299,                0.67944,                  1.023,                0.78898,                0.93457,                0.90938,                0.85699,                0.79422,                0.94151,                0.91946,                0.81883,                0.43008,                0.77771,                0.57114,                0.99184,             0.00028158,             0.00028158,             0.00028158
                     80,                0.53324,                0.46104,                0.65924,                 1.0112,                0.83067,                0.90388,                0.90989,                0.84643,                0.83647,                0.91082,                0.91853,                0.82269,                0.43474,                0.70302,                0.55445,                0.98689,             0.00027932,             0.00027932,             0.00027932
                     81,                0.52996,                0.45442,                0.68125,                 1.0133,                0.78957,                0.94288,                0.93158,                0.86777,                0.79497,                0.94983,                0.93759,                0.83813,                0.44863,                 0.7338,                0.57024,                0.99563,             0.00027707,             0.00027707,             0.00027707
                     82,                0.54967,                0.43437,                0.68442,                 1.0244,                0.75936,                0.95679,                0.89788,                0.84295,                0.76543,                0.96373,                0.90122,                0.80436,                0.44435,                0.71181,                 0.6162,                 1.0073,             0.00027482,             0.00027482,             0.00027482
                     83,                0.52105,                0.45012,                0.66051,                 1.0209,                0.75972,                0.97762,                0.91589,                0.84946,                0.76623,                0.98457,                0.91845,                0.82469,                0.44942,                0.65492,                0.54779,                0.99726,             0.00027257,             0.00027257,             0.00027257
                     84,                0.52709,                0.42393,                0.66369,                 1.0134,                0.81052,                0.94212,                0.91384,                0.84798,                0.81681,                0.94907,                0.91641,                0.82207,                0.44276,                  0.588,                0.55644,                0.98888,             0.00027032,             0.00027032,             0.00027032
